Comment,Designator,Footprint,LCSC Part #
1.3M,R7,R0402,
1M,R6,R0402,
1TS003B-1600-3500A,BUTTON,1TS003B16003500A,
1k,R13 R22,R0402,
1k3,R11,R0402,
1uF,C29,C0402,
1uF/10V,C15,C0603,
2k2,R8,R0402,
3.2k,R20,R0402,
4.7k,R15,R0402,
5.1k,R3 R10,R0402,
10k,R1 R2 R4 R5 R9 R12 R14 R21,R0402,
10uF/16V,C4 C6 C9 C13 C16,C0603,
22k,R19,R0402,
22uF,C2 C10,C0603,
100n,C11 C12,C0402,
100nF,C1 C5 C7 C14,C0402,
100nF/16V,C8,C0603,
AO3401,Q3,SOT23,
BAT60B,D1,SOD323-R,
CH9102F,IC3,QFN24-4X4,
CN3165,U2,DFN300X300X90-9N,
ESP32-C3-MINI-1-N4,IC1,ESP32C3MINI1N4,
GREEN,DONE,CHIP-LED0603,C19273151
JST-PH-2_SMD/SMD,BATT SOLAR,B2B-PH-SM4,C160352
JST-SH-4P,J2,1X04_1MM_RA_VERT,C371588
LESD5D5.0CT1G,D8 D9 D10,LESD5D50CT1G,
LM66200DRLR,LM66200,SOTFL50P160X60-8N,
MMDT3904,Q1,SC70-6,C268586
NTC 10k 3950,NTC,R0603,C2889049
RED,CHARGING,CHIP-LED0603,
RT9080-33GJ5,LDO LDO_S,SOT94P280X100-5N,
SK6812-EC20,LED_IO9,SK6812EC20,
SLIDE_SWITCH_TA-3530A-A2,S1,TA-3530A-A2,C514025
TS-1088R-02026,RESET,TS1088R02026,
USB-C_GT-USB-7010B,J6,G-SWITCH_GT-USB-7010B,C2837092
USUP_SPI_CONNECTOR_VERT,J1,1X06_1MM_RA_VERT,C145963
USUP_3P_V,J3 J5,1X03_1MM_RA_VERT,C160389
